Training Logs

Epoch [349/3000], Discriminator Loss: 1.3248, Generator Loss: 0.7681
Epoch [350/3000], Discriminator Loss: 1.3437, Generator Loss: 0.8123
Epoch [351/3000], Discriminator Loss: 1.2533, Generator Loss: 0.8780
Epoch [352/3000], Discriminator Loss: 1.2852, Generator Loss: 0.8103
Epoch [353/3000], Discriminator Loss: 1.3141, Generator Loss: 0.7926
Epoch [354/3000], Discriminator Loss: 1.3267, Generator Loss: 0.7751
Epoch [355/3000], Discriminator Loss: 1.3171, Generator Loss: 0.7874
Epoch [356/3000], Discriminator Loss: 1.2991, Generator Loss: 0.7937
Epoch [357/3000], Discriminator Loss: 1.3067, Generator Loss: 0.7893
Epoch [358/3000], Discriminator Loss: 1.2864, Generator Loss: 0.8192
Epoch [359/3000], Discriminator Loss: 1.2888, Generator Loss: 0.8089
Epoch [360/3000], Discriminator Loss: 1.3105, Generator Loss: 0.7875
Epoch [361/3000], Discriminator Loss: 1.2837, Generator Loss: 0.7758
Epoch [362/3000], Discriminator Loss: 1.2771, Generator Loss: 0.8096
Epoch [363/3000], Discriminator Loss: 1.2953, Generator Loss: 0.7972
Epoch [364/3000], Discriminator Loss: 1.2926, Generator Loss: 0.7967
Epoch [365/3000], Discriminator Loss: 1.2925, Generator Loss: 0.8020
Epoch [366/3000], Discriminator Loss: 1.2707, Generator Loss: 0.8118
Epoch [367/3000], Discriminator Loss: 1.2759, Generator Loss: 0.8195
